millis,distance_cm
87600,19.17
87700,19.17
87800,19.17
87900,19.17
88000,19.17
88100,19.17
88200,19.17
88300,19.17
88400,19.16
88500,19.17
88600,19.17
88700,19.17
88800,19.17
88900,19.17
89000,19.17
89100,19.19
89200,19.17
89300,19.17
89400,19.17
89500,19.17
89600,19.17
89700,19.17
89800,19.17
89900,19.17
90000,19.17
90100,19.17
90200,19.17
90300,19.16
90400,19.17
90500,19.17
90600,19.17
90700,19.16
90800,19.17
90900,19.17
91000,19.17
91100,19.17
91200,19.17
91300,19.17
91400,19.17
91500,19.17
91600,19.17
91700,19.17
91800,19.17
91900,19.17
92000,19.17
92100,19.17
92200,19.17
92300,19.17
92400,19.17
92500,19.17
92600,19.17
92700,19.17
92800,19.17
92900,19.17
93000,19.17
93100,19.17
93200,19.17
93300,19.17
93400,19.17
93500,19.17
93600,19.17
93700,19.17
93800,19.17
93900,19.17
94000,19.19
94100,19.17
94200,19.17
94300,19.17
94400,19.17
94500,19.17
94600,19.17
94700,19.17
94800,19.17
94900,19.17
95000,19.17
95100,19.16
95200,19.17
95300,19.17
95400,19.17
95500,19.17
95600,19.17
95700,19.17
95800,19.17
95900,19.17
96000,19.17
96100,19.17
96200,19.17
96300,19.17
96400,19.19
96500,19.17
96600,19.17
96700,19.17
96800,19.17
96900,19.17
97000,19.17
97100,19.17
97200,19.17
97300,19.17
97400,19.19
97500,19.17
97600,19.17
97700,19.17
97800,19.17
97900,19.17
98000,19.17
98100,19.16
98200,19.17
98300,19.17
98400,19.19
98500,19.17
98600,19.17
98700,19.17
98800,19.19
98900,19.17
99000,19.17
99100,19.17
99200,19.17
99300,19.17
99400,19.19
99500,19.17
99600,19.17
99700,19.17
99800,19.17
99900,19.17
100000,19.17
100100,19.17
100200,19.17
100300,19.17
100400,19.17
100500,19.17
100600,19.19
100700,19.17
100800,19.17
100900,19.17
101000,19.19
101100,19.17
101200,19.17
101300,19.17
101400,19.19
101500,19.17
101600,19.17
101700,19.17
101800,19.17
101900,19.17
102000,19.19
102100,19.17
102200,19.19
102300,19.17
102400,19.17
102500,19.17
102600,19.19
102700,19.17
102800,19.19
102900,19.19
103000,19.19
103100,19.17
103200,19.17
103300,19.17
103400,19.17
103500,19.17
103600,19.17
103700,19.17
103800,19.16
103900,19.17
104000,19.17
104100,19.17
104200,19.17
104300,19.17
104400,19.17
104500,19.17
104600,19.16
104700,19.17
104800,19.17
104900,19.17
105000,19.17
105100,19.19
105200,19.17
105300,19.17
105400,19.19
105500,19.19
105600,19.17
105700,19.17
105800,19.17
105900,19.17
106000,19.17
106100,19.17
106200,19.17
106300,19.17
106400,19.17
106500,19.17
106600,19.16
106700,19.17
106800,19.17
106900,19.17
107000,19.17
107100,19.19
107200,19.17
107300,19.17
107400,19.17
107500,19.17
107600,19.17
107700,19.17
107800,19.17
107900,19.17
108000,19.17
108100,19.17
108200,19.17
108300,19.17
